trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-258.54894172285395,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-85.69883983215942,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-215.39492895263743,"{0: 16, 1: 0, 2: 9, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,3,-119.81887501429753,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-65.23129430708275,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-30.82067145863976,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-108.65949007992374,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,5,-114.87543105379056,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,-0.923024506838984,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-93.30968789326114,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-64.63488639965365,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-18.033125499371746,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,14,11.593506682950627,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,1,-32.35309454304081,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-81.45123817166571,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,16,8.379082511743661,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,5,-51.21884483005623,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,28.048688093566774,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,15.476236342949777,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-20.02016629832063,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,6,1.3038729417152892,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,-60.77240100616563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",25,4,-9.883569095367998,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,9,-0.7971656965583838,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,8.920248161813747,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,-32.82834974950104,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,2,-67.57574727424888,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",20,16,9.51260617858212,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,8,23.034236072692288,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,19.066927810562955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
