trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998}",20,0,-74.27131191893432,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.996}",30,11,-56.51946576739438,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.994}",20,0,-89.75134264627901,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.992}",30,0,-222.5858787301327,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.99}",20,0,-123.89677540644867,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.988}",30,0,-175.5872828124769,"{0: 15, 1: 3, 2: 8, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.986}",20,0,-83.80988124385712,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.984}",20,1,-60.374987547301046,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.982}",25,0,-152.36730536024348,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.98}",25,0,-78.24529712377542,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.978}",25,0,-111.81577065608792,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.976}",35,0,-185.2989867709858,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.974}",20,0,-125.35189984456832,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.972}",20,0,-59.88467567809374,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.97}",25,0,-119.99319616030672,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.968}",25,1,-132.1944418367783,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.966}",25,6,-152.6376863042224,"{0: 8, 1: 5, 2: 2, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.964}",30,0,-50.10902927648491,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.962}",25,0,-131.51146338214878,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.96}",30,0,-223.93081066368353,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.958}",25,0,-318.935262055315,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 6}",0
22,False,"{'a': 0.5, 'e': 0.956}",20,0,-61.19192613006267,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.954}",30,0,-264.2086794535051,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 5}",0
24,False,"{'a': 0.5, 'e': 0.952}",20,0,-75.19122619588106,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.95}",20,2,-91.18761004301314,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.948}",20,0,-145.58788115409087,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.946}",20,0,-64.13550641944545,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.944}",20,8,-44.745502333820596,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.942}",20,10,-51.7496643830684,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.94}",30,0,-138.35087762741986,"{0: 14, 1: 9, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.938}",30,18,-51.27785299680925,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-139.60862072848315,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9339999999999999}",20,0,-84.62402054232123,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9319999999999999}",20,0,-32.474539922860075,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,16,7.682052395183845,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.9279999999999999}",20,0,-161.77322314994643,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9259999999999999}",20,0,-40.45095857609197,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
