trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-112.251939187333,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-111.84638122642953,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,-68.29322737403669,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-192.29358111255223,"{0: 9, 1: 4, 2: 8, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-98.49734361934877,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-36.542298875626884,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-132.24210770010905,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-161.2161999740953,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-139.30671683379293,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-46.65723889146123,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-207.85767916135507,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-103.52160574448195,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,8,-81.42640977371539,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-134.46527339815395,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-153.12693134056315,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,12,-74.65538869011885,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-107.49725946195007,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-48.22463660532788,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-189.60140265423433,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-156.918849957728,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-133.42875114808547,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-135.23864165000077,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-131.79932998478873,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-118.88561739388399,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-133.27981884859722,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",35,0,-323.83787422492435,"{0: 15, 1: 7, 2: 6, 3: 2, 4: 5}",0
7,True,"{'a': 0, 'e': 0}",30,0,-108.69499750166442,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-37.482761520087045,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-111.1876740329551,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-215.73491322144065,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
